frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
168,2026-06-16T07:24:10.604,97.38,32.45,10.27,9,1,2,0,1,1,0,3,1
169,2026-06-16T07:24:10.636,97.42,31.37,10.27,10,1,2,1,1,1,0,3,1
170,2026-06-16T07:24:10.669,93.23,30.89,10.73,9,1,1,1,1,1,0,3,1
171,2026-06-16T07:24:10.700,95.83,31.56,10.44,9,1,1,1,1,1,0,3,1
172,2026-06-16T07:24:10.758,52.02,17.35,19.22,9,1,2,0,1,1,0,3,1
173,2026-06-16T07:24:10.792,48.36,29.19,20.68,11,1,4,0,1,1,0,3,1
174,2026-06-16T07:24:10.813,95.08,49.05,10.52,10,1,3,0,1,1,0,3,1
175,2026-06-16T07:24:10.845,95.36,31.24,10.49,10,1,3,0,1,1,0,3,1
176,2026-06-16T07:24:10.877,95.87,31.32,10.43,11,1,3,1,1,1,0,3,1
177,2026-06-16T07:24:10.918,51.42,23.92,19.45,10,1,3,0,1,1,0,3,1
178,2026-06-16T07:24:10.941,92.88,44.32,10.77,9,1,1,1,1,1,0,3,1
179,2026-06-16T07:24:10.973,94.54,31.42,10.58,11,1,4,0,1,1,0,3,1
180,2026-06-16T07:24:11.006,89.23,30.38,11.21,9,1,1,1,1,1,0,3,1
181,2026-06-16T07:24:11.111,61.07,9.46,16.38,9,1,1,1,1,1,0,3,1
182,2026-06-16T07:24:11.127,96.59,61.64,10.35,9,1,1,1,1,1,0,3,1
183,2026-06-16T07:24:11.148,98.8,48.51,10.12,9,1,2,0,1,1,0,3,1
184,2026-06-16T07:24:11.180,95.61,31.02,10.46,10,1,3,0,1,1,0,3,1
185,2026-06-16T07:24:11.213,91.48,30.46,10.93,9,1,1,1,1,1,0,3,1
186,2026-06-16T07:24:11.255,51.21,24.48,19.53,9,1,2,0,1,1,0,3,1
187,2026-06-16T07:24:11.277,95.5,44.24,10.47,12,1,5,0,1,1,0,3,1
188,2026-06-16T07:24:11.316,59.98,25.91,16.67,10,1,2,1,1,1,0,3,1
189,2026-06-16T07:24:11.340,97.46,40.1,10.26,9,1,1,1,1,1,0,3,1
190,2026-06-16T07:24:11.373,94.75,30.91,10.55,10,1,3,0,1,1,0,3,1
191,2026-06-16T07:24:11.405,95.11,31.44,10.51,8,1,1,0,1,1,0,3,1
192,2026-06-16T07:24:11.438,86.14,29.75,11.61,9,1,1,1,1,1,0,3,1
193,2026-06-16T07:24:11.479,47.89,24.13,20.88,8,1,1,0,1,1,0,3,1
194,2026-06-16T07:24:11.503,85.01,44.27,11.76,9,1,1,1,1,1,0,3,1
195,2026-06-16T07:24:11.549,94.41,21.48,10.59,9,1,2,0,1,1,0,3,1
196,2026-06-16T07:24:11.581,95.55,31.48,10.47,9,1,1,1,1,1,0,3,1
197,2026-06-16T07:24:11.621,56.38,24.92,17.74,9,1,2,0,1,1,0,3,1
198,2026-06-16T07:24:11.646,87.84,39.47,11.38,10,1,2,1,1,1,0,3,1
199,2026-06-16T07:24:11.677,93.65,32.46,10.68,8,1,1,0,1,1,0,3,1
200,2026-06-16T07:24:11.719,49.93,23.68,20.03,9,1,1,1,1,1,0,3,1
201,2026-06-16T07:24:11.741,94.95,46.4,10.53,9,1,2,0,1,1,0,3,1
202,2026-06-16T07:24:11.773,95.99,31.34,10.42,9,1,2,0,1,1,0,3,1
203,2026-06-16T07:24:11.805,95.71,31.09,10.45,9,1,2,0,1,1,0,3,1
204,2026-06-16T07:24:11.837,93.55,31.08,10.69,9,1,2,0,1,1,0,3,1
205,2026-06-16T07:24:11.879,50.27,23.6,19.89,10,1,2,1,1,1,0,3,1
206,2026-06-16T07:24:11.901,93.11,46.01,10.74,10,1,3,0,1,1,0,3,1
207,2026-06-16T07:24:11.949,93.25,20.88,10.72,9,1,2,0,1,1,0,3,1
208,2026-06-16T07:24:11.982,92.27,30.9,10.84,9,1,2,0,1,1,0,3,1
209,2026-06-16T07:24:12.023,51.22,24.26,19.52,10,1,2,1,1,1,0,3,1
210,2026-06-16T07:24:12.055,51.62,31.1,19.37,11,1,3,1,1,1,0,3,1
211,2026-06-16T07:24:12.078,86.01,42.49,11.63,9,1,1,1,1,1,0,3,1
212,2026-06-16T07:24:12.108,96.47,33.1,10.37,9,1,1,1,1,1,0,3,1
213,2026-06-16T07:24:12.140,96.68,31.22,10.34,8,1,1,0,1,1,0,3,1
214,2026-06-16T07:24:12.172,96.55,31.13,10.36,10,1,2,1,1,1,0,3,1
215,2026-06-16T07:24:12.205,94.98,31.1,10.53,9,1,2,0,1,1,0,3,1
216,2026-06-16T07:24:12.237,92.1,30.84,10.86,9,1,2,0,1,1,0,3,1
217,2026-06-16T07:24:12.269,91.18,31.34,10.97,9,1,2,0,1,1,0,3,1
218,2026-06-16T07:24:12.301,92.05,31.01,10.86,9,1,1,1,1,1,0,3,1
219,2026-06-16T07:24:12.349,88.71,20.75,11.27,9,1,2,0,1,1,0,3,1
220,2026-06-16T07:24:12.381,93.68,31.88,10.68,10,1,3,0,1,1,0,3,1
221,2026-06-16T07:24:12.413,92.05,30.91,10.86,10,1,2,1,1,1,0,3,1
222,2026-06-16T07:24:12.445,88.11,30.72,11.35,10,1,2,1,1,1,0,3,1
223,2026-06-16T07:24:12.488,47.51,23.67,21.05,9,1,1,1,1,1,0,3,1
224,2026-06-16T07:24:12.511,79.37,42.79,12.6,9,1,1,1,1,1,0,3,1
225,2026-06-16T07:24:12.552,47.03,24.44,21.26,9,1,2,0,1,1,0,3,1
226,2026-06-16T07:24:12.573,91.0,47.12,10.99,9,1,1,1,1,1,0,3,1
227,2026-06-16T07:24:12.615,49.83,24.13,20.07,8,1,1,0,1,1,0,3,1
228,2026-06-16T07:24:12.639,82.64,42.13,12.1,8,1,1,0,1,1,0,3,1
229,2026-06-16T07:24:12.669,95.18,33.34,10.51,9,1,1,1,1,1,0,3,1
230,2026-06-16T07:24:12.701,95.5,31.45,10.47,8,1,1,0,1,1,0,3,1
231,2026-06-16T07:24:12.750,89.06,20.26,11.23,9,1,2,0,1,1,0,3,1
232,2026-06-16T07:24:12.781,95.81,32.44,10.44,9,1,1,1,1,1,0,3,1
233,2026-06-16T07:24:12.812,97.78,31.49,10.23,9,1,1,1,1,1,0,3,1
234,2026-06-16T07:24:12.845,95.81,30.83,10.44,10,1,3,0,1,1,0,3,1
235,2026-06-16T07:24:12.877,91.5,30.97,10.93,10,1,3,0,1,1,0,3,1
236,2026-06-16T07:24:12.908,97.08,32.12,10.3,8,1,1,0,1,1,0,3,1
237,2026-06-16T07:24:12.941,96.23,31.1,10.39,8,1,1,0,1,1,0,3,1
238,2026-06-16T07:24:12.974,86.63,29.68,11.54,10,1,2,1,1,1,0,3,1
239,2026-06-16T07:24:13.006,86.5,31.26,11.56,11,1,4,0,1,1,0,3,1
240,2026-06-16T07:24:13.038,88.29,31.55,11.33,9,1,1,1,1,1,0,3,1
241,2026-06-16T07:24:13.069,91.24,31.76,10.96,10,1,2,1,1,1,0,3,1
242,2026-06-16T07:24:13.101,95.09,32.04,10.52,9,1,2,0,1,1,0,3,1
243,2026-06-16T07:24:13.132,96.37,31.24,10.38,10,1,3,0,1,1,0,3,1
244,2026-06-16T07:24:13.182,89.7,20.25,11.15,10,1,2,1,1,1,0,3,1
245,2026-06-16T07:24:13.212,95.92,32.64,10.43,9,1,2,0,1,1,0,3,1
246,2026-06-16T07:24:13.246,93.22,30.76,10.73,10,1,3,0,1,1,0,3,1
247,2026-06-16T07:24:13.287,51.41,24.27,19.45,9,1,1,1,1,1,0,3,1
248,2026-06-16T07:24:13.309,96.6,44.95,10.35,9,1,2,0,1,1,0,3,1
249,2026-06-16T07:24:13.351,51.27,23.93,19.51,9,1,1,1,1,1,0,3,1
250,2026-06-16T07:24:13.379,63.19,35.38,15.83,9,1,2,0,1,1,0,3,1
251,2026-06-16T07:24:13.406,90.18,36.93,11.09,10,1,2,1,1,1,0,3,1
252,2026-06-16T07:24:13.437,94.84,32.29,10.54,9,1,1,1,1,1,0,3,1
253,2026-06-16T07:24:13.472,75.17,27.98,13.3,9,1,1,1,1,1,0,3,1
254,2026-06-16T07:24:13.502,91.05,34.58,10.98,10,1,3,0,1,1,0,3,1
255,2026-06-16T07:24:13.534,89.14,30.96,11.22,10,1,3,0,1,1,0,3,1
256,2026-06-16T07:24:13.581,95.57,21.21,10.46,9,1,1,1,1,1,0,3,1
257,2026-06-16T07:24:13.624,49.36,23.08,20.26,11,1,3,1,1,1,0,3,1
258,2026-06-16T07:24:13.645,92.75,47.55,10.78,8,1,1,0,1,1,0,3,1
259,2026-06-16T07:24:13.684,57.78,25.48,17.31,10,1,2,1,1,1,0,3,1
260,2026-06-16T07:24:13.708,97.41,41.55,10.27,9,1,1,1,1,1,0,3,1
261,2026-06-16T07:24:13.740,95.96,30.98,10.42,9,1,2,0,1,1,0,3,1
262,2026-06-16T07:24:13.776,78.33,28.6,12.77,9,1,2,0,1,1,0,3,1
263,2026-06-16T07:24:13.805,92.83,33.96,10.77,10,1,2,1,1,1,0,3,1
264,2026-06-16T07:24:13.838,86.04,29.97,11.62,9,1,2,0,1,1,0,3,1
265,2026-06-16T07:24:13.869,94.67,33.03,10.56,9,1,2,0,1,1,0,3,1
266,2026-06-16T07:24:13.901,96.38,31.59,10.38,9,1,1,1,1,1,0,3,1
267,2026-06-16T07:24:13.933,97.4,31.18,10.27,9,1,2,0,1,1,0,3,1
268,2026-06-16T07:24:13.990,53.26,17.39,18.78,10,1,2,1,1,1,0,3,1
269,2026-06-16T07:24:14.013,96.07,44.24,10.41,10,1,2,1,1,1,0,3,1
270,2026-06-16T07:24:14.047,86.19,29.6,11.6,10,1,2,1,1,1,0,3,1
271,2026-06-16T07:24:14.082,68.68,28.18,14.56,10,1,2,1,1,1,0,3,1
272,2026-06-16T07:24:14.108,97.49,37.65,10.26,9,1,1,1,1,1,0,3,1
273,2026-06-16T07:24:14.150,51.92,24.08,19.26,9,1,1,1,1,1,0,3,1
274,2026-06-16T07:24:14.173,96.24,44.55,10.39,9,1,1,1,1,1,0,3,1
275,2026-06-16T07:24:14.205,97.61,31.21,10.24,9,1,1,1,1,1,0,3,1
276,2026-06-16T07:24:14.237,97.03,31.04,10.31,10,1,2,1,1,1,0,3,1
277,2026-06-16T07:24:14.271,84.95,29.55,11.77,10,1,2,1,1,1,0,3,1
278,2026-06-16T07:24:14.301,90.55,32.48,11.04,10,1,2,1,1,1,0,3,1
279,2026-06-16T07:24:14.343,50.17,24.07,19.93,9,1,2,0,1,1,0,3,1
280,2026-06-16T07:24:14.391,50.41,20.85,19.84,9,1,2,0,1,1,0,3,1
281,2026-06-16T07:24:14.413,94.32,45.59,10.6,9,1,2,0,1,1,0,3,1
282,2026-06-16T07:24:14.446,90.54,30.29,11.04,10,1,2,1,1,1,0,3,1
283,2026-06-16T07:24:14.478,87.23,30.79,11.46,10,1,3,0,1,1,0,3,1
284,2026-06-16T07:24:14.509,95.8,32.85,10.44,9,1,1,1,1,1,0,3,1
285,2026-06-16T07:24:14.541,93.96,31.01,10.64,10,1,2,1,1,1,0,3,1
286,2026-06-16T07:24:14.573,90.59,30.84,11.04,9,1,1,1,1,1,0,3,1
287,2026-06-16T07:24:14.604,94.24,31.83,10.61,9,1,1,1,1,1,0,3,1
288,2026-06-16T07:24:14.637,91.5,31.01,10.93,9,1,1,1,1,1,0,3,1
289,2026-06-16T07:24:14.668,96.36,31.74,10.38,9,1,1,1,1,1,0,3,1
290,2026-06-16T07:24:14.702,88.86,29.92,11.25,10,1,2,1,1,1,0,3,1
